ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	119.23340758328582	119.23340758328582	119.23340758328582	119.23340758328582
1	119.30495605287724	119.28274612610353	119.29385108949036	119.30495605287724
2	119.38646632588733	119.32043213866916	119.35445726843028	119.38646632588733
3	119.43541332703496	119.33996420671461	119.38881388548646	119.43541332703496
4	119.4648548060509	119.35535208101342	119.4127656122175	119.46545693810882
5	119.49617782150905	119.37365021188103	119.44090563157813	119.50026777226587
6	119.51532730087295	119.3861251653881	119.45777204114476	119.51836334761533
7	119.53071240605574	119.39581326858863	119.47134169368182	119.53362295125376
8	119.52250563213785	119.39526155897451	119.47098793283493	119.530911891019
9	119.5368364580017	119.40241500654447	119.48309365439134	119.54489120883025
10	119.54777918315138	119.4113494686813	119.4958829443126	119.55610982255874
11	119.55982532044197	119.41867772369898	119.50630833522453	119.5681808472515
12	119.57192180624759	119.4284401124793	119.52098415037621	119.58486895335434
13	119.57977643600333	119.43466348977067	119.52939079278953	119.59390256260458
14	119.5838665826005	119.43584295312048	119.53331684611084	119.59666280970629
15	119.58788159844616	119.4396320916145	119.5382107887078	119.59947338204083
