Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	15:14:38	15:14:38	15:14:38			15:14:38	15:14:38	15:14:38	15:14:38	15:14:38	15:14:38	15:14:38	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39			15:14:39	15:14:39		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
1	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39			15:14:39	15:14:39		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
2	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39			15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39	15:14:39			15:14:40	15:14:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
3	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40			15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40			15:14:40	15:14:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
4	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40			15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40			15:14:40	15:14:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
5	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40			15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40			15:14:40	15:14:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
6	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40			15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40			15:14:41	15:14:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
7	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41			15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41			15:14:41	15:14:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
8	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41			15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41			15:14:41	15:14:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
9	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41			15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41			15:14:41	15:14:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
10	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41			15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
11	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41			15:14:41	15:14:41	15:14:41	15:14:41	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42			15:14:42	15:14:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
12	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42			15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42			15:14:42	15:14:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
13	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42			15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42			15:14:42	15:14:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
14	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42			15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42			15:14:42	15:14:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
15	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42			15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42	15:14:42			15:14:43	15:14:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
