Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	15:13:50	15:13:50	15:13:50			15:13:50	15:13:50	15:13:50	15:13:50	15:13:50	15:13:50	15:13:50	15:13:50	15:13:50	15:13:50	15:13:50	15:13:50	15:13:50			15:13:51	15:13:51		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
1	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51			15:13:51	15:13:51		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
2	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51	15:13:51			15:13:51	15:13:51	15:13:51	15:13:51	15:13:52	15:13:52	15:13:52	15:13:52	15:13:52	15:13:52			15:13:52	15:13:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
3	15:13:52	15:13:52	15:13:52	15:13:52	15:13:52	15:13:52			15:13:52	15:13:52	15:13:52	15:13:52	15:13:53	15:13:53	15:13:53	15:13:53	15:13:53	15:13:53			15:13:53	15:13:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
4	15:13:53	15:13:53	15:13:53	15:13:53	15:13:53	15:13:53			15:13:53	15:13:53	15:13:53	15:13:53	15:13:53	15:13:53	15:13:53	15:13:53	15:13:53	15:13:53			15:13:53	15:13:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
5	15:13:53	15:13:53	15:13:53	15:13:53	15:13:53	15:13:53			15:13:53	15:13:53	15:13:53	15:13:53	15:13:54	15:13:54	15:13:54	15:13:54	15:13:54	15:13:54			15:13:54	15:13:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
6	15:13:54	15:13:54	15:13:54	15:13:54	15:13:54	15:13:54			15:13:54	15:13:54	15:13:54	15:13:54	15:13:54	15:13:54	15:13:54	15:13:54	15:13:54	15:13:54			15:13:55	15:13:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
7	15:13:55	15:13:55	15:13:55	15:13:55	15:13:55	15:13:55			15:13:55	15:13:55	15:13:55	15:13:55	15:13:55	15:13:55	15:13:55	15:13:55	15:13:55	15:13:55			15:13:55	15:13:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
8	15:13:55	15:13:55	15:13:55	15:13:55	15:13:55	15:13:55			15:13:55	15:13:55	15:13:55	15:13:55	15:13:56	15:13:56	15:13:56	15:13:56	15:13:56	15:13:56			15:13:56	15:13:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
9	15:13:56	15:13:56	15:13:56	15:13:56	15:13:56	15:13:56			15:13:56	15:13:56	15:13:56	15:13:56	15:13:56	15:13:56	15:13:56	15:13:56	15:13:56	15:13:56			15:13:56	15:13:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
10	15:13:56	15:13:56	15:13:56	15:13:56	15:13:56	15:13:56			15:13:56	15:13:56	15:13:56	15:13:56	15:13:57	15:13:57	15:13:57	15:13:57	15:13:57	15:13:57	15:13:57	15:13:57	15:13:57	15:13:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
